Freq_MHz,Timestamp_ms,RSSI_dBm,Data_Hex
0.00,2305,-1.0,N/A
900.00,2891,-74.0,N/A
900.23,2898,-74.0,N/A
900.47,2905,-74.0,N/A
900.70,2912,-74.0,N/A
900.94,2920,-74.0,N/A
901.17,2928,-74.0,N/A
901.41,2937,-74.0,N/A
901.64,2991,-74.0,N/A
901.87,2998,-74.0,N/A
902.11,3076,-74.0,N/A
902.34,3119,-74.0,N/A
902.58,3168,-74.0,N/A
902.81,3210,-74.0,N/A
903.05,3252,-74.0,N/A
903.28,3337,-74.0,N/A
903.52,3379,-74.0,N/A
903.75,3421,-74.0,N/A
903.98,3467,-74.0,N/A
904.22,3513,-74.0,N/A
904.45,3554,-74.0,N/A
904.69,3598,-74.0,N/A
904.92,3644,-74.0,N/A
905.16,3737,-74.0,N/A
905.39,3780,-74.0,N/A
905.62,3822,-74.0,N/A
905.86,3866,-74.0,N/A
906.09,3911,-74.0,N/A
906.33,3954,-74.0,N/A
906.56,4001,-74.0,N/A
906.80,4047,-74.0,N/A
907.03,4133,-74.0,N/A
907.27,4177,-74.0,N/A
907.50,4223,-74.0,N/A
907.73,4267,-74.0,N/A
907.97,4312,-74.0,N/A
908.20,4355,-74.0,N/A
908.44,4404,-74.0,N/A
908.67,4448,-74.0,N/A
908.91,4540,-74.0,N/A
909.14,4589,-74.0,N/A
909.37,4633,-74.0,N/A
909.61,4679,-74.0,N/A
909.84,4726,-74.0,N/A
910.08,4774,-74.0,N/A
910.31,4821,-74.0,N/A
910.55,4866,-74.0,N/A
910.78,4961,-74.0,N/A
911.02,5008,-74.0,N/A
911.25,5057,-74.0,N/A
911.48,5105,-74.0,N/A
911.72,5154,-74.0,N/A
911.95,5202,-74.0,N/A
912.19,5249,-74.0,N/A
912.42,5299,-74.0,N/A
912.66,5395,-74.0,N/A
912.89,5444,-74.0,N/A
913.12,5489,-74.0,N/A
913.36,5537,-74.0,N/A
913.59,5582,-74.0,N/A
913.83,5632,-74.0,N/A
914.06,5681,-74.0,N/A
914.30,5728,-74.0,N/A
914.53,5820,-74.0,N/A
914.77,5867,-74.0,N/A
915.00,5913,-74.0,N/A
915.23,5959,-74.0,N/A
915.47,6012,-74.0,N/A
915.70,6060,-74.0,N/A
915.94,6107,-74.0,N/A
916.17,6158,-74.0,N/A
916.41,6256,-74.0,N/A
916.64,6306,-74.0,N/A
916.87,6357,-74.0,N/A
917.11,6408,-74.0,N/A
917.34,6457,-74.0,N/A
917.58,6507,-74.0,N/A
917.81,6560,-74.0,N/A
918.05,6610,-74.0,N/A
918.28,6711,-74.0,N/A
918.52,6762,-74.0,N/A
918.75,6814,-74.0,N/A
918.98,6871,-74.0,N/A
919.22,6921,-74.0,N/A
919.45,6972,-74.0,N/A
919.69,7029,-74.0,N/A
919.92,7086,-74.0,N/A
920.16,7191,-74.0,N/A
920.39,7244,-74.0,N/A
920.62,7296,-74.0,N/A
920.86,7356,-74.0,N/A
921.09,7410,-74.0,N/A
921.33,7462,-74.0,N/A
921.56,7517,-74.0,N/A
921.80,7570,-74.0,N/A
922.03,7673,-74.0,N/A
922.27,7726,-74.0,N/A
922.50,7777,-74.0,N/A
922.73,7830,-74.0,N/A
922.97,7884,-74.0,N/A
923.20,7938,-74.0,N/A
923.44,7993,-74.0,N/A
923.67,8051,-74.0,N/A
923.91,8155,-74.0,N/A
924.14,8207,-74.0,N/A
924.37,8263,-74.0,N/A
924.61,8315,-74.0,N/A
924.84,8369,-74.0,N/A
925.08,8424,-74.0,N/A
925.31,8484,-74.0,N/A
925.55,8543,-74.0,N/A
925.78,8682,-74.0,N/A
926.02,8738,-74.0,N/A
926.25,8794,-74.0,N/A
926.48,8850,-74.0,N/A
926.72,8904,-74.0,N/A
926.95,8965,-74.0,N/A
927.19,9021,-74.0,N/A
927.42,9077,-74.0,N/A
927.66,9170,-74.0,N/A
927.89,9226,-74.0,N/A
900.00,9283,-74.0,N/A
900.23,9343,-74.0,N/A
900.47,9401,-74.0,N/A
900.70,9456,-74.0,N/A
900.94,9515,-74.0,N/A
901.17,9573,-74.0,N/A
901.41,9666,-74.0,N/A
901.64,9724,-74.0,N/A
901.87,9781,-74.0,N/A
902.11,9838,-74.0,N/A
902.34,9898,-74.0,N/A
902.58,9959,-74.0,N/A
902.81,10020,-74.0,N/A
903.05,10081,-74.0,N/A
903.28,10181,-74.0,N/A
903.52,10244,-74.0,N/A
903.75,10304,-74.0,N/A
903.98,10362,-74.0,N/A
904.22,10422,-74.0,N/A
904.45,10483,-74.0,N/A
904.69,10545,-74.0,N/A
904.92,10611,-74.0,N/A
905.16,10711,-74.0,N/A
905.39,10771,-74.0,N/A
905.62,10829,-74.0,N/A
905.86,10890,-74.0,N/A
906.09,10951,-74.0,N/A
906.33,11012,-74.0,N/A
906.56,11070,-74.0,N/A
906.80,11132,-74.0,N/A
907.03,11233,-74.0,N/A
907.27,11293,-74.0,N/A
907.50,11359,-74.0,N/A
907.73,11424,-74.0,N/A
907.97,11486,-74.0,N/A
908.20,11550,-74.0,N/A
908.44,11614,-74.0,N/A
908.67,11677,-74.0,N/A
908.91,11778,-74.0,N/A
909.14,11837,-74.0,N/A
909.37,11902,-74.0,N/A
909.61,11965,-74.0,N/A
909.84,12029,-74.0,N/A
910.08,12097,-74.0,N/A
910.31,12163,-74.0,N/A
910.55,12226,-74.0,N/A
910.78,12327,-74.0,N/A
911.02,12392,-74.0,N/A
911.25,12457,-74.0,N/A
911.48,12518,-74.0,N/A
911.72,12583,-74.0,N/A
911.95,12650,-74.0,N/A
912.19,12716,-74.0,N/A
912.42,12786,-74.0,N/A
912.66,12903,-74.0,N/A
912.89,12942,-74.0,N/A
913.12,12983,-74.0,N/A
913.36,13024,-74.0,N/A
913.59,13065,-74.0,N/A
913.83,13106,-74.0,N/A
914.06,13146,-74.0,N/A
914.30,13185,-74.0,N/A
914.53,13267,-74.0,N/A
914.77,13307,-74.0,N/A
915.00,13349,-74.0,N/A
915.23,13390,-74.0,N/A
915.47,13432,-74.0,N/A
915.70,13474,-74.0,N/A
915.94,13515,-74.0,N/A
916.17,13559,-74.0,N/A
916.41,13641,-74.0,N/A
916.64,13680,-74.0,N/A
916.87,13722,-74.0,N/A
917.11,13765,-74.0,N/A
917.34,13809,-74.0,N/A
917.58,13856,-74.0,N/A
917.81,13902,-74.0,N/A
918.05,13945,-74.0,N/A
918.28,14027,-74.0,N/A
918.52,14075,-74.0,N/A
918.75,14118,-74.0,N/A
918.98,14165,-74.0,N/A
919.22,14211,-74.0,N/A
919.45,14257,-74.0,N/A
919.69,14311,-74.0,N/A
919.92,14356,-74.0,N/A
920.16,14439,-74.0,N/A
920.39,14489,-74.0,N/A
920.62,14537,-74.0,N/A
920.86,14588,-74.0,N/A
921.09,14635,-74.0,N/A
921.33,14684,-74.0,N/A
921.56,14738,-74.0,N/A
921.80,14786,-74.0,N/A
922.03,14872,-74.0,N/A
922.27,14918,-74.0,N/A
922.50,14967,-74.0,N/A
922.73,15018,-74.0,N/A
922.97,15065,-74.0,N/A
923.20,15112,-74.0,N/A
923.44,15160,-74.0,N/A
923.67,15209,-74.0,N/A
923.91,15296,-74.0,N/A
924.14,15344,-74.0,N/A
924.37,15392,-74.0,N/A
924.61,15438,-74.0,N/A
924.84,15487,-74.0,N/A
925.08,15538,-74.0,N/A
925.31,15585,-74.0,N/A
925.55,15632,-74.0,N/A
925.78,15720,-74.0,N/A
926.02,15772,-74.0,N/A
926.25,15823,-74.0,N/A
926.48,15870,-74.0,N/A
926.72,15923,-74.0,N/A
926.95,15974,-74.0,N/A
927.19,16025,-74.0,N/A
927.42,16074,-74.0,N/A
927.66,16172,-74.0,N/A
927.89,16221,-74.0,N/A
900.00,16272,-74.0,N/A
900.23,16322,-74.0,N/A
900.47,16374,-74.0,N/A
900.70,16428,-74.0,N/A
900.94,16481,-74.0,N/A
901.17,16530,-74.0,N/A
901.41,16622,-74.0,N/A
901.64,16672,-74.0,N/A
901.87,16724,-74.0,N/A
902.11,16776,-74.0,N/A
902.34,16827,-74.0,N/A
902.58,16879,-74.0,N/A
902.81,16933,-74.0,N/A
903.05,16986,-74.0,N/A
903.28,17083,-74.0,N/A
903.52,17137,-74.0,N/A
903.75,17196,-74.0,N/A
903.98,17248,-74.0,N/A
904.22,17299,-74.0,N/A
904.45,17352,-74.0,N/A
904.69,17407,-74.0,N/A
904.92,17461,-74.0,N/A
905.16,17564,-74.0,N/A
905.39,17620,-74.0,N/A
905.62,17674,-74.0,N/A
905.86,17726,-74.0,N/A
906.09,17778,-74.0,N/A
906.33,17835,-74.0,N/A
906.56,17890,-74.0,N/A
906.80,17946,-74.0,N/A
907.03,18048,-74.0,N/A
907.27,18105,-74.0,N/A
907.50,18159,-74.0,N/A
907.73,18218,-74.0,N/A
907.97,18277,-74.0,N/A
908.20,18332,-74.0,N/A
908.44,18392,-74.0,N/A
